многодетныемамы	mothers of many children
стильобразмодныйлукэстетикаобувьаксессуары	styleimagefashionablelookaestheticsshoesaccessories
птицам	to the birds
джентли	gentleman
миссис	Mrs.
обзортачкипутешествия	reviewcarstravel
плачь	cry
странное	strange
побережьеамальфи	Malfi coast
нужду	well, I'm waiting
лифте	elevator
раздувайтесь	bloat
медиапритяжение	media attraction
образным	figurative
отбросить	discard
ужастик	horror
экранблокировки	lock screen
дурки	fools
помешает	will interfere
крепких	strong
каково	what does it feel like
специя	spice
превзошли	surpassed
хутао	hutao
лонгсливмагазинмосквамодныйобразженскаяодежда	longsleevestoremoscowfashionableimagewomen's clothing
породила	gave birth to
доставка	delivery
кндр	DPRK
севернаякорея	North Korea
измененияя	changes
задаешься	you wonder
мотоцикгонки	motorcycle racing
делового	business
бутылку	bottle
батут	trampoline
битве	battle
футболистка	soccer player
дляпостельногобедья	for bedsickness
семьяотношения	familyrelationships
заказнике	reserve
западной	western
позитивпен	positivepen
офигеешь	you'll go nuts
вынуждена	forced
принимать	accept
ввайфу	wwifu
просыпаешься	wake up
прозвищу	nickname
роллсройс	Rolls-Royce
глядят	looking
кевина	Kevin
шлепку	spanking
филлера	filler
сочинять	compose
дура	stupid
бизнесвойну	business war
получилось	happened
брани	abuse
оченьочень	very very
едешь	you're going
люксом	luxury
казахскии	Kazakh
рулетка	roulette
памятьтелефону	phone memory
цинкование	galvanizing
выходных	weekend
келдона	Keldon
тематическая	thematic
приглашали	invited
грустит	sad
корректировка	adjustment
львах	lions
мастермайнд	mastermind
останься	stay
отсылкой	reference
машаимедведь	Masha and the Bear
карма	karma
системное	systemic
детективыфуто	detectivesfuto
спортгерл	sportsgirl
поблагодарите	thank
химчистку	dry cleaning
дэниелрэдклифф	Daniel Radcliffe
крепкими	strong
дерозана	derozana
цитаты	quotes
взор	look
подружкой	girlfriend
врача	doctor
детскиймассаж	baby massage
заношенных	worn out
послушный	obedient
словакии	Slovakia
латинская	Latin
тайминг	timing
дерево	tree
обнулится	will be reset
джинсовую	denim
влюблен	in love
скрепыши	staples
наспортехоккей	nasportehockey
нажимаем	press
многое	much
вправду	really
аманда	Amanda
реалиях	realities
воротам	gate
пасхальное	Easter
звонки	calls
полировкаавто	polishingauto
испортят	will spoil
увлажнениекожи	skin hydration
джейимолчаливыйбобнаносятответныйудар	Jay and Silent Bob Strike Back
месседж	message
мота	mota
тюряга	prison
бывая	visiting
итак	So
универ	Univer
анимационныйфильм	animated film
милыйдомчи	dear domchi
растерявшая	confused
звукдинамика	sounddynamics
